"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"José Ignacio, Llorens Torres";"Hombre";1943,00;"Grupo Popular";"Casado";"Ingeniero Agrónomo Superior. Funcionario de carrera jubilado. Profesor en la Escuela de Ingenieros Agrónomos de Lleida.";"Lleida";;;"Diputado. Presidente de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Patxi, López Álvarez";"Hombre";1959,00;"Grupo Socialista";"Casado";"Ingeniero Industrial.";"Bizkaia";;;"Diputado. Vocal de la Diputación Permanente. Presidente de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Susana, López Ares";"Mujer";1967,00;"Grupo Popular";"Casada";"Doctora en Ciencias Económicas y Empresariales. Licenciada en Ciencias Económicas y Empresariales. Profesora titular de Universidad. Departamento de Economía Cuantitativa.";"Asturias";;;"Diputada. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Conferencia sobre Estabilidad, Coordinación Económica y Gobernanza en la Unión Europea (CECEG).";;;;;;;;;
"Juan Antonio, Lopéz de Uralde Garmendía";"Hombre";1963,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casado";"Profesionalmente siempre dedicado a la protección, estudio y defensa de la naturaleza. ";"Álava";;;"Diputado. Cofundador del Partido Equo. Actualmente co-portavoz del partido.Portavoz de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Miguel, Lorenzo Torres";"Hombre";1961,00;"Grupo Popular";"Soltero";"Licenciado en Derecho. Profesor Universitario. ";"A Coruña";;;"Diputado. Concejal. Vicepresidente Segundo de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"María Pilar, Lucio Carrasco";"Mujer";1972,00;"Grupo Socialista";"Casada";"Licenciada en Ciencias Políticas y Sociología. Máster en Consultoría de Gestión Estratégica de las Organizaciones. Doctoranda en Gobierno y Administración Pública. ";"Cáceres";;;"Diputada. Gestión de proyectos de desarrollo de recursos humanos y desarrollo rural. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Miembro Titular de la Delegación española en la Asamblea de la Unión Interp";;;;;;;;;
"César, Luena López";"Hombre";1980,00;"Grupo Socialista";"Soltero";"Doctor por la Universidad de La Rioja. Licenciado en Humanidades con mención honorífica al mejor expediente académico. Diplomado en Estudios Avanzados y Suficiencia Investigadora. ";"La Rioja";;;"Diputado. Vocal Suplente de la Diputación Permanente. Vicepresidente Primero de la Comisión de Cooperación Internacional para el Desarrollo desde el 18/07/2017 al 05/03/2019.";;;;;;;;;
"Jorge, Luis Bail";"Hombre";1984,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casado";"No consta";"Huesca";;;"Diputado. Activista ecologista y social. Secretario Segundo de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";;;;;;;;;
"Teófilo de, Luis Rodríguez";"Hombre ";1952,00;"Grupo Popular";"Casado";"Licenciado en Ciencias Económicas. ";"Madrid";;;"Diputado. Secretario IV de la Mesa del Congreso de los Diputados. Presidente de la Comisión sobre Seguridad Vial y Movilidad Sostenible desde el 29/11/2016 al 05/03/2019.";;;;;;;;;
"Ana María, Madrazo Díaz";"Mujer";1961,00;"Grupo Popular";"Casada";"Licenciada en Ciencias Económicas y Empresariales. Cuerpo Técnico de Hacienda de la A.E.A.T.";"Cantabria";;;"Diputada. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 10/09/2018 al 05/03/2019.";;;;;;;;;
